"product_name","stock_available","predicted_quantity","shortage","peak_month","seasonal_note"
"Boat Series 554",145,2392,2247,"January","Mostly required in January"
"Reebok Ultra 919",385,2606,2221,"January","Mostly required in January"
"Dell Model 756",291,2510,2219,"January","Mostly required in January"
"Reebok Series 666",149,2339,2190,"January","Mostly required in January"
"Adidas Series 951",28,2022,1994,"January","Mostly required in January"
"Redmi Ultra 389",182,2110,1928,"January","Mostly required in January"
"Redmi Prime 551",161,2087,1926,"January","Mostly required in January"
"Whirlpool Model 683",349,2243,1894,"January","Mostly required in January"
"Boat Ultra 937",273,2152,1879,"January","Mostly required in January"
"Reebok Ultra 102",436,2271,1835,"January","Mostly required in January"
"Puma Edition 636",192,2005,1813,"January","Mostly required in January"
"Philips Model 451",301,2114,1813,"January","Mostly required in January"
"Samsung Series 127",63,1856,1793,"January","Mostly required in January"
"Whirlpool Series 919",221,1999,1778,"January","Mostly required in January"
"Dell Prime 987",5,1771,1766,"January","Mostly required in January"
"Apple Prime 110",678,2444,1766,"January","Mostly required in January"
"LG Prime 589",497,2247,1750,"January","Mostly required in January"
"Dell Model 233",39,1785,1746,"January","Mostly required in January"
"Nike Model 165",17,1751,1734,"January","Mostly required in January"
"Philips Edition 173",503,2216,1713,"January","Mostly required in January"
"HP Ultra 167",344,2040,1696,"January","Mostly required in January"
"Sony Series 672",21,1712,1691,"January","Mostly required in January"
"Nike Model 914",29,1707,1678,"January","Mostly required in January"
"Puma Model 815",1,1668,1667,"January","Mostly required in January"
"Nike Prime 813",87,1750,1663,"January","Mostly required in January"
"Samsung Ultra 856",306,1953,1647,"January","Mostly required in January"
"Puma Prime 939",119,1761,1642,"January","Mostly required in January"
"Nike Prime 382",183,1822,1639,"January","Mostly required in January"
"Samsung Ultra 744",478,2117,1639,"January","Mostly required in January"
"HP Prime 602",176,1810,1634,"January","Mostly required in January"
"Redmi Series 621",43,1660,1617,"January","Mostly required in January"
"Samsung Prime 988",303,1909,1606,"January","Mostly required in January"
"Boat Prime 291",809,2409,1600,"January","Mostly required in January"
"Redmi Edition 87",99,1690,1591,"January","Mostly required in January"
"Boat Series 686",503,2089,1586,"January","Mostly required in January"
"LG Series 343",171,1752,1581,"January","Mostly required in January"
"Apple Prime 355",288,1868,1580,"January","Mostly required in January"
"Sony Model 299",36,1613,1577,"January","Mostly required in January"
"Prestige Series 68",215,1792,1577,"January","Mostly required in January"
